compound,selected_orientation_deg,drug_atom_index,drug_element,surface_atom_index,surface_element,distance_A,parsed_wbo,wbo_source_file,charge_drug_formal,charge_drug_complex,charge_carrier_complex,charge_transfer_DeltaQ,charge_conservation_status,contact_classification,complex_geometry_file,sha256
Temozolomide,0,11,N,26,Ti,1.976,0.6201,calculations/gbm/Temozolomide/Temozolomide_complex_wbo.txt,0,-0.2582,0.2582,-0.2582,CONSERVED,coordination chemisorption,calculations/gbm/Temozolomide/Temozolomide_complex_opt_final.xyz,1bf4a51696f815374a618422604b1c52da7332c576a822edca453f23861039fe
Osimertinib,0,4,O,76,Ti,1.838,0.6106,calculations/gbm/Osimertinib/Osimertinib_complex_wbo.txt,0,0.3297,-0.3297,0.3297,CONSERVED,coordination chemisorption,calculations/gbm/Osimertinib/Osimertinib_complex_opt_final.xyz,2fc83d0a97443266d7758287de6f1f449a6013b3f2e42623fce47c41324e7a2a
Erlotinib,90,9,N,58,Ti,1.97,0.6207,calculations/gbm/Erlotinib/Erlotinib_complex_wbo.txt,0,0.2168,-0.2168,0.2168,CONSERVED,coordination chemisorption,calculations/gbm/Erlotinib/Erlotinib_complex_opt_final.xyz,61b4eea6a34c2d9811c23f957073c86734fcf2b5f1529f5e2280b6c8dbe4178d
Gefitinib,180,40,H,75,O,2.142,< 0.01,calculations/gbm/Gefitinib/Gefitinib_complex_wbo.txt,0,0.7041,-0.7041,0.7041,CONSERVED,hydrogen bonding / non-covalent adsorption,calculations/gbm/Gefitinib/Gefitinib_complex_opt_final.xyz,6885de5e84927a744bf65daec239f60f33e7b5588562c5238d405e05a2a9e089
Lapatinib,90,47,H,86,O,2.042,< 0.01,calculations/gbm/Lapatinib/Lapatinib_complex_wbo.txt,0,0.0124,-0.0124,0.0124,CONSERVED,hydrogen bonding / non-covalent adsorption,calculations/gbm/Lapatinib/Lapatinib_complex_opt_final.xyz,233f47af1a3521be37a45daa6babac347ba5b3049614e11e11958c5764116cc2
Afatinib,270,8,O,65,Ti,1.794,0.7460,calculations/gbm/Afatinib/Afatinib_complex_wbo.txt,0,0.3456,-0.3456,0.3456,CONSERVED,coordination chemisorption,calculations/gbm/Afatinib/Afatinib_complex_opt_final.xyz,871262a66758cdf53a791f64d700b2ebce03d43002fe20b5ba51c7435c7be7ab
Cobimetinib,90,36,H,75,O,0.976,0.8345,calculations/gbm/Cobimetinib/Cobimetinib_complex_wbo.txt,0,-0.1871,0.1871,-0.1871,CONSERVED,surface-induced proton transfer / reactive chemisorption,calculations/gbm/Cobimetinib/Cobimetinib_complex_opt_final.xyz,bc07e48eb8354994592370291925643826ea0354d584256b1cb701ca9f44c754
Paxalisib,90,10,N,59,Ti,1.978,0.5086,calculations/gbm/Paxalisib/Paxalisib_complex_wbo.txt,0,0.4907,-0.4907,0.4907,CONSERVED,coordination chemisorption,calculations/gbm/Paxalisib/Paxalisib_complex_opt_final.xyz,f80d2334fdfd4ab364c4240e37aeb30fb3fb880ec6451a3f032244f13e7397ea
