name,drug_class,drugbank_id,smiles,formal_charge,E_HOMO_eV,E_LUMO_eV,Gap_eV,Eta_eV,Mu_eV,Omega_eV,MolMR,MolWt,E_drug_Eh,vina_4ZAU_kcal_mol,vina_2J6M_kcal_mol,delta_Eint_Ti12C7O14_kcal_mol
Palbociclib,CDK4/6 Inhibitor,DB09073,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,0,-9.2781,-7.6972,1.5809,0.7905,-8.4877,45.5691,122.377,419.53,-88.63219,-7.69,-8.49,-2.332
Ribociclib,CDK4/6 Inhibitor,DB11730,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,0,-9.1775,-7.2745,1.903,0.9515,-8.226,35.5581,125.653,434.55,-92.086332,-7.93,-7.94,158.412
Cobimetinib,MEK1/2 Inhibitor,DB09565,OC1(CN(Cc2cc(F)ccc2I)CCO1)c1c(F)c(F)c(F)c(Nc2c(F)cccc2I)c1F,0,-10.266,-7.742,2.524,1.262,-9.004,32.1205,132.917,720.19,-107.394604,-8.49,-9.97,-2.221
Trametinib,MEK1/2 Inhibitor,DB08911,CC1=C(C(=O)N(C(=O)N1c1ccc(I)cc1F)c1ccccc1NC(=O)C2CC2)c1c(F)cccc1,0,-10.4642,-7.9948,2.4694,1.2347,-9.2295,34.4957,141.796,599.38,-102.29113,-8.5,-8.93,-3.251
Selumetinib,MEK1/2 Inhibitor,DB11928,NC(=O)c1c(Cl)c(Nc2ccc(I)cc2F)c(F)cc1OCC(O)CO,0,-10.5135,-7.8833,2.6302,1.3151,-9.1984,32.1689,100.915,498.65,-81.339578,-6.78,-6.92,-9.147
Dabrafenib,BRAF V600E Inhibitor,DB08912,CC(C)(C)c1nc(nc(n1)S(=O)(=O)Nc1c(F)cccc1F)-c1c[nH]c2ncc(F)cc12,0,-9.8207,-7.728,2.0927,1.0464,-8.7744,36.7894,110.739,462.46,-102.606737,-8.02,-8.44,-3127.235
Everolimus,mTOR Inhibitor,DB01590,COCCOC1CC2CCC(C)C(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)(OC)CC2)CC=CC=CC=C(C)CC(C)CC(OC)C(=O)C)C1,0,-9.7111,-8.4274,1.2837,0.6418,-9.0693,64.0736,203.105,746.0,-167.568754,-4.51,-5.2,-4.398
Vorinostat,HDAC Inhibitor,DB02546,O=C(CCCCCCC(=O)Nc1ccccc1)NO,0,-10.4642,-6.6023,3.8619,1.931,-8.5332,18.8551,72.703,264.33,-58.190074,-6.35,-6.19,-9.17
Bortezomib,Proteasome Inhibitor,DB00188,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,0,-9.8644,-8.1512,1.7132,0.8566,-9.0078,47.3619,105.01,384.25,-82.637589,,,-4.869
Marizomib,Proteasome Inhibitor,DB12347,CC[C@@]1(C)[C@H]2[C@@H](C(=O)N2[C@@H]1O)CCCl,0,,,,,,,53.866,217.7,,-5.17,-5.46,
Entrectinib,TRK/ROS1 TKI,DB12044,COc1cc(Cc2c(N3CCC(N4CCOCC4)CC3)nc3cnn(c3c2)c2cccc(F)c2)cc(OC)c1,0,-9.3988,-7.6206,1.7782,0.8891,-8.5097,40.7238,148.802,531.63,-113.148353,-8.94,-9.73,-3.89
Larotrectinib,TRK Inhibitor,DB12984,O=C(Nc1ncc2cnn(-c3cccc(F)c3)c2n1)[C@H]1CNCCO1,0,-10.1029,-8.2205,1.8824,0.9412,-9.1617,44.5903,87.857,342.33,-72.323035,-7.87,-8.2,-4.109
Paxalisib,PI3K/mTOR TKI,DB15438,CC(C)(C)c1nc(nc(n1)N1CCOCC1)-c1cnc(N2CCOCC2)nc1N,0,-9.7272,-7.6511,2.0761,1.0381,-8.6891,36.3669,110.029,400.49,-86.562042,-7.61,-8.2,-6.636
Buparlisib,PI3K Pan-Inhibitor,DB09088,Cc1nc(nc(c1C(F)(F)F)N1CCOCC1)-c1cnc2[nH]ccc2c1,0,-9.8365,-7.5805,2.256,1.128,-8.7085,33.6161,89.891,363.34,-77.297672,-7.81,-7.76,-5.452
