name,delta_Eint_SP_kcal_mol,delta_Eint_relaxed_kcal_mol
Temozolomide,-13.353,-139.49908658721935
Osimertinib,-2.667,-45.409870636486495
Erlotinib,-8.643,-52.062949770835274
Gefitinib,-3.782,-65.3339379560565
Lapatinib,-8.717,-82.69920417949983
Afatinib,-2.791,-73.18502743642564
Cobimetinib,-8.812,-96.49440697768351
Paxalisib,-10.168,-103.98767573026848
