name,formal_charge,selected_orientation_deg,E_complex_opt_Eh,E_drug_frozen_Eh,E_mxene_frozen_Eh,E_drug_relaxed_Eh,E_mxene_relaxed_Eh,Delta_E_def_drug_kcal_mol,Delta_E_def_mxene_kcal_mol,E_interaction_frozen_kcal_mol,E_adsorption_total_kcal_mol,min_drug_surface_dist_A,parsed_wbo_min_contact,charge_transfer_DeltaQ_e,drug_relax_convergence,drug_relax_cycles,drug_relax_gradient_norm,mxene_relax_convergence,mxene_relax_cycles,mxene_relax_gradient_norm,final_geometry_file,sha256
Temozolomide,0,0,-133.917877,-41.535372,-92.028381,-41.590335,-92.098727,34.49,44.143,-222.216,-143.584,1.976,0.6201,-0.2582,CONVERGED,31,0.0029284463,CONVERGED,21,0.003926713403,calculations/gbm/Temozolomide/Temozolomide_complex_opt_final.xyz,1bf4a51696f815374a618422604b1c52da7332c576a822edca453f23861039fe
Osimertinib,0,0,-197.740922552606,-105.33052663299,-92.053875501789,-105.407697662227,-92.093842765973,48.43,25.08,-223.72,-150.21,1.838,0.6106,0.3297,CONVERGED,39,0.002308402031,CONVERGED,43,0.003225550477,calculations/gbm/Osimertinib/Osimertinib_complex_opt_final.xyz,2fc83d0a97443266d7758287de6f1f449a6013b3f2e42623fce47c41324e7a2a
Erlotinib,0,90,-176.027054,-83.797633,-92.069892,-83.8082,-92.08972,6.631,12.442,-100.105,-81.032,1.97,0.6207,0.2168,CONVERGED,14,0.00233920275,CONVERGED,15,0.00313303822,calculations/gbm/Erlotinib/Erlotinib_complex_opt_final.xyz,61b4eea6a34c2d9811c23f957073c86734fcf2b5f1529f5e2280b6c8dbe4178d
Gefitinib,0,180,-184.876793,-92.525683,-92.083081,-92.556747,-92.09583,19.493,8.0,-168.19,-140.698,2.142,< 0.01,0.7041,CONVERGED,46,0.002805429216,CONVERGED,16,0.003703690624,calculations/gbm/Gefitinib/Gefitinib_complex_opt_final.xyz,6885de5e84927a744bf65daec239f60f33e7b5588562c5238d405e05a2a9e089
Lapatinib,0,90,-207.890751,-115.472912,-92.008555,-115.531736,-92.095714,36.913,54.693,-256.829,-165.224,2.042,< 0.01,0.0124,CONVERGED,46,0.003399026019,CONVERGED,46,0.003121085059,calculations/gbm/Lapatinib/Lapatinib_complex_opt_final.xyz,233f47af1a3521be37a45daa6babac347ba5b3049614e11e11958c5764116cc2
Afatinib,0,270,-192.641068617333,-100.222124707211,-92.046623549106,-100.279920579485,-92.075180536824,36.27,17.92,-233.63,-179.45,1.794,0.7460,0.3456,CONVERGED,88,0.002474730321,CONVERGED,29,0.002269363251,calculations/gbm/Afatinib/Afatinib_complex_opt_final.xyz,871262a66758cdf53a791f64d700b2ebce03d43002fe20b5ba51c7435c7be7ab
Cobimetinib,0,90,-199.923809,-107.006837,-91.941864,-107.266602,-92.083487,163.004,88.869,-611.889,-360.015,0.976,0.8345,-0.1871,CONVERGED,47,0.003491035845,CONVERGED,25,0.003083341621,calculations/gbm/Cobimetinib/Cobimetinib_complex_opt_final.xyz,bc07e48eb8354994592370291925643826ea0354d584256b1cb701ca9f44c754
Paxalisib,0,90,-178.934259,-86.527999,-92.00171,-86.59972,-92.073544,45.006,45.076,-253.859,-163.777,1.978,0.5086,0.4907,CONVERGED,36,0.00285706755,CONVERGED,36,0.003137469262,calculations/gbm/Paxalisib/Paxalisib_complex_opt_final.xyz,f80d2334fdfd4ab364c4240e37aeb30fb3fb880ec6451a3f032244f13e7397ea
