compound,angle_deg,convergence_status,energy_Eh,gradient_norm,final_sha256,output_sha256,cycles,final_geometry_file
Afatinib,90,CONVERGED,-192.588227826437,0.003037663551,88670c9951381360ccf441ca962f0084e75ddc1cb4df45ca8617b124ddcc3536,3a724e8b9cef28312e6ddeabc0671eb5d2ac5e2a4c81cfbf9b5edf7e31f66e6a,200,calculations/gbm/Afatinib/Afatinib_orientation_90deg_final.xyz
Afatinib,180,CONVERGED,-192.666157990179,0.003202340343,b5dec822d4c70b3b56cd6866ba702c8c3b55bc395986067d7c55a517efe210fc,37e85767ef87bf2b8a8e17f0b4c3f73283c1cb27f0e362e5bb01d6aad1f205d5,200,calculations/gbm/Afatinib/Afatinib_orientation_180deg_final.xyz
Afatinib,270,CONVERGED,-192.641068617333,0.003143011975,871262a66758cdf53a791f64d700b2ebce03d43002fe20b5ba51c7435c7be7ab,217a92e78daf9928d0fbbf7443aaf9122a40b5920e554727503400236a66a9b7,200,calculations/gbm/Afatinib/Afatinib_orientation_270deg_final.xyz
Cobimetinib,0,CONVERGED,-199.618073859319,0.002674941793,dc16f3efdf860511d9ba1c0d8dd69395d96171ed53f3cb434237a3a2746e8c56,24e79253a48764ef119f4a06cebdd3d1094920a19cb9316bab390a8c4ccab389,200,calculations/gbm/Cobimetinib/Cobimetinib_orientation_0deg_final.xyz
Cobimetinib,90,CONVERGED,-199.923809355922,0.003675795411,bc07e48eb8354994592370291925643826ea0354d584256b1cb701ca9f44c754,ce43b5bbb6deab093982274830fea82155671ced5176b67b2836e012220f34f5,200,calculations/gbm/Cobimetinib/Cobimetinib_orientation_90deg_final.xyz
Cobimetinib,180,CONVERGED,-199.863254702278,0.003156387556,98fe6924a3e5b8afa9d9965292635b75bdb43af4cd30fdcbba1f284a13a0bd05,4644d91a797f87f8a5538a33ccbc9a53837aaf25b6033b4aafbcab7db9705c38,200,calculations/gbm/Cobimetinib/Cobimetinib_orientation_180deg_final.xyz
Cobimetinib,270,CONVERGED,-199.70308265,0.003526867993,216d325bafd324199071f15177fd2657b1c030df9bca6ec17b3eb0bc083bb9c7,14314fa43dd2d7dd2a85b060da3b38f2d1cf4221a42e015f49606a851122ddda,200,calculations/gbm/Cobimetinib/Cobimetinib_orientation_270deg_final.xyz
Paxalisib,0,CONVERGED,-178.864257394883,0.001888614459,1c4be0126fc933e48fc6535204cdcca1044e8b3897aff308789e619439670125,4a56560c755a608fba2bb56dd8cb994b40d66300604e399519dc1f9c3f9eccda,200,calculations/gbm/Paxalisib/Paxalisib_orientation_0deg_final.xyz
Paxalisib,90,CONVERGED,-178.934259152147,0.002748761877,f80d2334fdfd4ab364c4240e37aeb30fb3fb880ec6451a3f032244f13e7397ea,91fee882782526590ff4bb303aa0e5360283b21d0e57a14df027d8b0d2b0a511,200,calculations/gbm/Paxalisib/Paxalisib_orientation_90deg_final.xyz
Paxalisib,180,CONVERGED,-178.901241539556,0.003085720321,1dc7e15216eae3d8272311cda21873280ea2a084cf04a976b9c78d592ddd6db8,e2a357a952c3874c1c25ddf212d0e41e4564d0ced0e5e3c677f1618cbedcbd3c,200,calculations/gbm/Paxalisib/Paxalisib_orientation_180deg_final.xyz
Paxalisib,270,CONVERGED,-178.919098486134,0.003574666743,5ea979a88007e7662be7850ee20270d84a02e9395a24c9bb820bfb749cfd614e,a29fa5d07ec58feac9b913562bdabad19ddf88744d82eaec67229ca2872324b7,200,calculations/gbm/Paxalisib/Paxalisib_orientation_270deg_final.xyz
