compound,angle_deg,convergence_status,E_opt_log,GradNorm_opt_log,E_replay_SP,GradNorm_replay_SP,Delta_E_Eh,Delta_E_kcal_mol,input_sha256,final_sha256,output_sha256,replay_status,is_selected_minimum
Lapatinib,0,CONVERGED,-207.838867673268,0.00207819842,-207.838867669751,0.002081802061,3.516987590046483e-09,2.2069413656424787e-06,0b84146bdb38b01392cd61e5c6a558866b5a3c963a95f2490c3124b2347294d4,8bfaad797f116895e39219dde77fdc13167f6297eca31c79af58806b3b018c8b,1b10e443f563d778e166536c9c21abd21755cc7a9b629fcd03c1b0214ce80bce,PASS,False
Lapatinib,90,CONVERGED,-207.890751176027,0.003138061713,-207.890751146089,0.003132870525,2.993800762851606e-08,1.8786369228962484e-05,c5643d06b2afd7c0371d55d9d1589cca7b952929e1f78daa01d2670481acd15f,233f47af1a3521be37a45daa6babac347ba5b3049614e11e11958c5764116cc2,b6c84ea01a14e5008bf97b3cd48247c999695297f2fbfb9e2fb157391f57d55b,PASS,True
Lapatinib,180,CONVERGED,-207.707681734645,0.003958682961,-207.707681749407,0.003953777639,-1.4761980082766968e-08,-9.263275359757017e-06,4380ad03089df17d5f0611004cd1d8aa14b8e5ca2241c5d2ba3f46cfa66e2c23,ef063d4a7686b05ce837223e05adcb50455b091576ca2c4fbe51d2428c086e82,69465cfdf975e3ba1209edc06617fbb3fe81fdd644b69ff0626444d61b2edffa,PASS,False
Lapatinib,270,CONVERGED,-207.880929328437,0.002465347367,-212.558885899148,0.592742370597,-4.677956570711018,-2935.4598497303004,e6fa603ec1790da2b01e62a4ceb2bfe5bc78284ce246428c64a7e0da130490b3,094b7f9a688fde61891a33467653f160ad9b3a52806d00ceda873f3158e2ea81,bff7355fe8c9284ec3901753e1ca52ca8122c45825108e3b182f226994a6b5dd,FAIL,False
Afatinib,0,CONVERGED,-192.603461954937,0.00304338722,-192.60346195037,0.003047117829,4.566999223243329e-09,2.865833115578198e-06,97f6c65450a908890a6ce69ed08a95abb468b32b2800d50fd00be28c9d2e37d5,d67e16e0241d61cdf6a96c012d991292492d708e3fedc155d7706050c5d3e958,195ee435e8ef130c37fe0942d0007d047ad3b699d3fc482757ba62ab3b639522,PASS,False
Afatinib,90,CONVERGED,-192.588227826437,0.003037663551,-192.331245025847,0.119620936118,0.2569828005899808,161.25902021541827,60c9476eae07ed5f617401bd9ca922e17bd0a8379891f9676e2539508efed007,88670c9951381360ccf441ca962f0084e75ddc1cb4df45ca8617b124ddcc3536,3a724e8b9cef28312e6ddeabc0671eb5d2ac5e2a4c81cfbf9b5edf7e31f66e6a,FAIL,False
Afatinib,180,CONVERGED,-192.666157990179,0.003202340343,-197.30766137003,0.478891667,-4.641503379851002,-2912.585144386923,8ba6e8cd1cf9db6f2705dd1a13d25bb4d30611f0a7a27a43dd3892ef482d077f,b5dec822d4c70b3b56cd6866ba702c8c3b55bc395986067d7c55a517efe210fc,37e85767ef87bf2b8a8e17f0b4c3f73283c1cb27f0e362e5bb01d6aad1f205d5,FAIL,False
Afatinib,270,CONVERGED,-192.641068617333,0.003143011975,-192.641068634273,0.003144441408,-1.6940020941547118e-08,-1.0630015601009291e-05,f684e7d04b04cc65bcc665feca43ee79fec56ae2fa3edc7eed2aa088d3828af0,871262a66758cdf53a791f64d700b2ebce03d43002fe20b5ba51c7435c7be7ab,217a92e78daf9928d0fbbf7443aaf9122a40b5920e554727503400236a66a9b7,PASS,True
Cobimetinib,0,CONVERGED,-199.618073859319,0.002674941793,-199.378841203054,0.093713505386,0.23923265626498846,150.12064490018665,d8f61f43a1232491b8f1f553318927af70db1febff83dc7e5b021ce740f29a09,dc16f3efdf860511d9ba1c0d8dd69395d96171ed53f3cb434237a3a2746e8c56,24e79253a48764ef119f4a06cebdd3d1094920a19cb9316bab390a8c4ccab389,FAIL,False
Cobimetinib,90,CONVERGED,-199.923809355922,0.003675795411,-199.923809347893,0.003673275769,8.02899080554198e-09,5.038263991394843e-06,3115fa65a1371e5ddde1ad92330d23949a2aebe6b159e23a9a2d9cda1a877409,bc07e48eb8354994592370291925643826ea0354d584256b1cb701ca9f44c754,ce43b5bbb6deab093982274830fea82155671ced5176b67b2836e012220f34f5,PASS,True
Cobimetinib,180,CONVERGED,-199.863254702278,0.003156387556,-199.863254705588,0.003148782152,-3.3099922802648507e-09,-2.0770499457967162e-06,b67cbcf341c40d675dbc458ec5fc04bb93c7f2b705e476a60a86b3bf950c5036,98fe6924a3e5b8afa9d9965292635b75bdb43af4cd30fdcbba1f284a13a0bd05,4644d91a797f87f8a5538a33ccbc9a53837aaf25b6033b4aafbcab7db9705c38,PASS,False
Cobimetinib,270,CONVERGED,-199.70308265,0.003526867993,-199.446440308471,0.116774800028,0.25664234152898757,161.04537909051348,f41eeff8d48c819587ec06872982e98a92cec3958373ed401a39d062afab26a5,216d325bafd324199071f15177fd2657b1c030df9bca6ec17b3eb0bc083bb9c7,14314fa43dd2d7dd2a85b060da3b38f2d1cf4221a42e015f49606a851122ddda,FAIL,False
Paxalisib,0,CONVERGED,-178.864257394883,0.001888614459,-183.293918101345,0.525112710118,-4.429660706462016,-2779.6519602512735,5129813d46c9442bcd39aaa453019c83e32c34b4e468d00bf3248c9239880c5d,1c4be0126fc933e48fc6535204cdcca1044e8b3897aff308789e619439670125,4a56560c755a608fba2bb56dd8cb994b40d66300604e399519dc1f9c3f9eccda,FAIL,False
Paxalisib,90,CONVERGED,-178.934259152147,0.002748761877,-178.934259148072,0.002749740046,4.075019433003035e-09,2.557111369384302e-06,972f76adffdbc501c9a6ebd98bc256a20c8c368efd7b56521d64a9bc956c69f1,f80d2334fdfd4ab364c4240e37aeb30fb3fb880ec6451a3f032244f13e7397ea,91fee882782526590ff4bb303aa0e5360283b21d0e57a14df027d8b0d2b0a511,PASS,True
Paxalisib,180,CONVERGED,-178.901241539556,0.003085720321,-178.90124150033,0.003088088135,3.922599489669665e-08,2.4614664831631217e-05,db0530382bb628a3fff838e5667036fc78526d98c86ba35163e1112cfaea4e70,1dc7e15216eae3d8272311cda21873280ea2a084cf04a976b9c78d592ddd6db8,e2a357a952c3874c1c25ddf212d0e41e4564d0ced0e5e3c677f1618cbedcbd3c,PASS,False
Paxalisib,270,CONVERGED,-178.919098486134,0.003574666743,-183.281651069258,0.481110256069,-4.362552583124,-2737.541008883558,4067ccea2fd2a84a56fa49a2ba816366a3254bb8e4d7a4d1f646ffc69dfcb1dc,5ea979a88007e7662be7850ee20270d84a02e9395a24c9bb820bfb749cfd614e,a29fa5d07ec58feac9b913562bdabad19ddf88744d82eaec67229ca2872324b7,FAIL,False
