name,drug_class,drugbank_id,Real_Vina_Docking_Score_kcal_mol,Pose_File,Log_File
Selumetinib,MEK1/2 Inhibitor,DB11640,-5.1,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Selumetinib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Selumetinib_vina.log
Trametinib,MEK1/2 Inhibitor,DB08911,-5.659,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Trametinib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Trametinib_vina.log
Cabozantinib,MET/VEGFR2 TKI,DB08875,-6.059,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Cabozantinib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Cabozantinib_vina.log
Cobimetinib,MEK Inhibitor,DB09065,-5.167,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Cobimetinib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Cobimetinib_vina.log
Dabrafenib,BRAF V600E Inhibitor,DB08912,-5.421,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Dabrafenib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Dabrafenib_vina.log
Paxalisib,PI3K/mTOR Dual Inhibitor (GBM-Specific),DB15227,-5.188,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Paxalisib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Paxalisib_vina.log
Palbociclib,CDK4/6 Inhibitor,DB09073,-6.409,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Palbociclib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Palbociclib_vina.log
Buparlisib,Pan-PI3K Inhibitor (BBB Active),DB12001,-5.833,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Buparlisib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Buparlisib_vina.log
Abemaciclib,CDK4/6 Inhibitor (CNS Active),DB12001,-6.455,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Abemaciclib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Abemaciclib_vina.log
Ribociclib,CDK4/6 Inhibitor,DB09075,-5.717,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Ribociclib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Ribociclib_vina.log
Lapatinib,EGFR/HER2 Dual TKI (CNS Active),DB01259,-6.133,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Lapatinib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Lapatinib_vina.log
Marizomib,Salinosporamide A (BBB Proteasome Inh),DB05018,-3.858,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Marizomib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Marizomib_vina.log
Vorinostat,HDAC Inhibitor (Epigenetic GBM Modulator),DB02546,-3.749,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Vorinostat_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Vorinostat_vina.log
Larotrectinib,TRK Inhibitor (NTRK Gliomas),DB12805,-5.529,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Larotrectinib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Larotrectinib_vina.log
Entrectinib,TRK/ROS1/ALK TKI (CNS Active),DB12453,-5.724,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Entrectinib_out.pdbqt,c:\Users\Andre\Proyectos doctorado\mxene-glioblastoma-qsar-ai\results\docking\real_poses\Entrectinib_vina.log
